Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Bakeware items included (product.metafields.shopify.bakeware-items-included),Bakeware pieces included (product.metafields.shopify.bakeware-pieces-included),Cleaning instructions (product.metafields.shopify.cleaning-instructions),Color (product.metafields.shopify.color-pattern),Compatible stove top type (product.metafields.shopify.compatible-stove-top-type),Cookware/Bakeware material (product.metafields.shopify.cookware-bakeware-material),Cookware items included (product.metafields.shopify.cookware-items-included),Dinnerware pieces included (product.metafields.shopify.dinnerware-pieces-included),Drinkware material (product.metafields.shopify.drinkware-material),Drinkware pieces included (product.metafields.shopify.drinkware-pieces-included),Features (product.metafields.shopify.features),Food storage material (product.metafields.shopify.food-storage-material),Hardware material (product.metafields.shopify.hardware-material),Material (product.metafields.shopify.material),Shape (product.metafields.shopify.shape),Tableware material (product.metafields.shopify.tableware-material),Tool/Utensil material (product.metafields.shopify.tool-utensil-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
naqsh-design-art-tray,Naqsh Design Art Tray,"<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 6.5x13 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Handcrafted Excellence: Crafted by skilled artisans, the Naqsh Design Art Tray is a testament to handcrafted excellence. The manual touch ensures that each tray is a unique creation, marked by the skill and artistry of its maker.</li>
<li>Versatile Decor Element: Whether displayed on a coffee table, dining table, or as a wall accent, this tray seamlessly integrates into various decor styles. Its versatility allows it to shine as a standalone art piece or a functional serving tray.</li>
<li class=""last"">Cultural Narratives: The Naqsh patterns hold cultural significance, often representing symbolic meanings and narratives. This tray becomes a visual storyteller, expressing the richness and depth of cultural traditions</li>
</ul>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/naqsh-design-art-tray_2c0f4c62-83c9-4f6f-ac92-028a6f2a0097.jpg?v=1745735578,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
naqsh-design-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/naqsh-design-art-tray_d5b73b4c-6067-4143-b0f1-72b7ddce9bac.jpg?v=1745735578,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iconic-karachi-art-tray,Iconic Karachi Art Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 6.5x13 inches | 9x9 inch (Deep)</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Landmark Depictions: Immerse yourself in the artistic rendition of Karachi's iconic landmarks. From the Quaid's Mausoleum to the bustling streets of Saddar, each detail captures the essence of the city's diverse and rich cultural heritage.</li>
<li>Multicultural Fusion: The Iconic Karachi Art Tray beautifully blends multicultural elements, showcasing the harmony that defines Karachi. Whether it's the fusion of architectural styles or the representation of various communities, the tray reflects the tapestry of diversity that makes Karachi unique.</li>
<li class=""last"">Functional Artistry: Beyond its aesthetic appeal, this tray serves as a functional piece of art. Use it as a platform to serve traditional Karachi delicacies, snacks, or beverages, turning every meal into a celebration of the city's vibrant identity.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/iconic-karachi-art-tray_6cdeaa50-140b-442a-989f-506cfd976730.jpg?v=1745737071,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
iconic-karachi-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/iconic-karachi-art-tray_4d80be0e-15a3-42a9-bb88-29f49f158269.jpg?v=1745737071,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pakistani-rickshaw-tray,Pakistani Rickshaw Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 8x14.5 inches | 6.5x13 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Authentic Rickshaw Design: The tray is adorned with a colorful and authentic rickshaw design, reminiscent of the iconic and intricately decorated rickshaws that navigate the bustling streets of Pakistan. The design captures the essence of this beloved mode of transportation.</li>
<li>Handcrafted Craftsmanship: Each Pakistani Rickshaw Tray is meticulously handcrafted by skilled artisans who pour their expertise and passion into creating this masterpiece. The attention to detail ensures that you receive a high-quality and unique piece of art.</li>
<li>Cultural Heritage: The Pakistani Rickshaw Tray is more than just a tray; it's a cultural expression. It celebrates the distinctive artwork that graces rickshaws in Pakistan, showcasing the creativity, stories, and traditions of the country.</li>
<li class=""last"">Various Sizes Available: You can choose from a range of sizes to suit your preferences and needs. Whether you prefer a small decorative piece or a larger serving tray, there's an option for you.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3200.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/rickshaw-art-tray1_d7910c3d-874c-40cf-990a-a1a3a12489d3.jpg?v=1745736804,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
pakistani-rickshaw-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/rickshaw-art-tray_c58e3d44-9efb-40de-8fd1-6444d826a74b.jpg?v=1745736804,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pakistani-rickshaw-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/rickshaw-art-tray_e21ee188-ab9e-42e8-8500-2b2fb9e6b4aa.jpg?v=1745736804,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pakistani-rickshaw-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/rickshaw-art-tray1_6d905dd5-6e1e-4dca-8637-db50b3b97cb7.jpg?v=1745736804,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karachi-art-serving-tray,Karachi Art Serving Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 7x12 inches (Flat) | 9x9 inches (Deep)</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Iconic Karachi Skyline: Adorning the surface of the tray is an intricate depiction of the iconic Karachi skyline. From towering minarets to modern skyscrapers, the skyline captures the essence of Karachi's evolving architecture and cityscape.</li>
<li>Heritage Landmarks: Immerse yourself in the cultural richness of Karachi with detailed representations of its heritage landmarks. From the Quaid's Mausoleum to the bustling streets of Saddar, each landmark is a testament to the city's history and diversity.</li>
<li>Vibrant Cultural Motifs: The tray is adorned with vibrant cultural motifs inspired by the city's diverse communities. From traditional art patterns to symbolic representations, these motifs celebrate the cultural tapestry that makes Karachi a melting pot of traditions.</li>
<li class=""last"">Perfect Gift: As a unique and culturally rich gift, the Karachi Art Serving Tray is perfect for occasions such as housewarmings, weddings, or cultural celebrations. It's a thoughtful present that encapsulates the spirit and pride of Karachi.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,3000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/karachi-art-serving-tray.jpg?v=1745735578,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
karachi-art-serving-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/karachi-art-serving-tray_5435f18a-b8e5-4a30-ae43-5b08c9b77dd2.jpg?v=1745735578,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sufi-art-tray,Sufi Art Tray,"<main id=""MainContent"" class=""content-for-layout focus-none"" role=""main"" tabindex=""-1"">
<section id=""shopify-section-template--24024098373947__main"" class=""shopify-section section"">
<section class=""product-popup"">
<div class=""product-popup-wrap"">
<div class=""box-keyfeatures showfirst"">
<div class=""mpi-about-product-box"">
<h5>Key Features</h5>
<ul>
<li class=""first"">Size: 6.5x13 inches</li>
<li>Material: Bernatiq or Natural Wood</li>
<li>Whirling Dervishes Motif: The centerpiece of this tray features a mesmerizing depiction of whirling dervishes—an iconic symbol of Sufi mysticism. The intricate details capture the fluidity and grace of the mystical dance, symbolizing spiritual ascent.</li>
<li>Rich and Lively Color Palette: Sufi art is known for its brilliant use of colors, and this tray is no exception. The rich and lively color palette reflects the vibrancy of Sufi traditions, creating a feast for the eyes and invoking a sense of joy and spirituality.</li>
<li>Sufi Calligraphy Elegance: Surrounding the central motif, delicate Sufi calligraphy is artfully incorporated. The elegant script conveys profound messages of love, unity, and devotion, adding layers of meaning to the overall design.</li>
<li class=""last"">Handcrafted Artisanal Design: Each tray is a testament to the skill and artistry of master craftsmen. Meticulously handcrafted, the Sufi Colorful Art Design Tray reflects the dedication to preserving traditional techniques and creating a piece of functional art.</li>
</ul>
</div>
</div>
</div>
</section>
</section>
<section id=""shopify-section-template--24024098373947__1707733094f9ded1c0"" class=""shopify-section section"">
<div class=""page-width""><br></div>
</section>
</main>
<div id=""shopify-section-footer"" class=""shopify-section"">
<section class=""why-powerhouse"">
<ul class=""wph-list"">
<li class=""first"">
<div class=""wph-box""></div>
</li>
</ul>
</section>
</div>",ORCHEEE,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Trays,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,3,deny,manual,2900.00,,true,true,"",https://cdn.shopify.com/s/files/1/0729/5913/1870/files/sufi-colorful-art-design-tray.jpg?v=1745737773,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,active
sufi-art-tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0729/5913/1870/files/sufi-colorful-art-design-tray_494a8730-eaa7-478d-ac1b-f9529de0dd2e.jpg?v=1745737773,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
